id;type;created_at;modified_at;file_name;valid;enabled
1;HML;2019-08-28T18:21:39;2019-08-29T05:18:04;interactive generating compelling;false;true
2;HML;2019-08-29T10:39:47;2019-08-29T12:50:25;Administrator;true;false
3;HML;2019-08-29T14:17:29;2019-08-28T19:03:31;monitor;true;true
4;HML;2019-08-28T16:40:14;2019-08-28T17:54:55;Investment Account archive Fantastic Plastic Chicken;false;true
5;HAML;2019-08-29T05:26:21;2019-08-29T11:45:33;bus synthesize Idaho;true;false
6;HML;2019-08-29T04:05:08;2019-08-29T12:02:24;Outdoors;true;false
7;HML;2019-08-28T21:56:14;2019-08-28T16:50:53;Phased;false;true
8;HAML;2019-08-28T21:57:17;2019-08-29T10:45:36;Web virtual deposit;true;false
9;HML;2019-08-29T06:50:43;2019-08-28T19:15:04;National;false;true
10;HML;2019-08-28T23:05:06;2019-08-29T04:22:44;copying;true;false
